Frame,time,RawF_1, F0_1, R_1
143,4.73333,23.86061,23.59548,0.01409
144,4.76667,23.80779,23.59548,0.01356
145,4.80000,23.64762,23.59548,0.01186
146,4.83333,23.57836,23.59548,0.00988
147,4.86667,23.45541,23.59548,0.00726
148,4.90000,23.57403,23.60000,0.00592
149,4.93333,23.61212,23.60546,0.00504
150,4.96667,23.57143,23.61061,0.00393
151,5.00000,23.45628,23.61709,0.00206
152,5.03333,23.59740,23.62383,0.00153
153,5.06667,23.43810,23.62808,-0.00020
154,5.10000,23.58615,23.64137,-0.00061
155,5.13333,23.47273,23.66414,-0.00201
156,5.16667,23.41299,23.67453,-0.00373
157,5.20000,23.23117,23.66806,-0.00654
158,5.23333,23.46147,23.64702,-0.00699
159,5.26667,23.28225,23.61551,-0.00851
160,5.30000,23.46580,23.59337,-0.00821
161,5.33333,23.34372,23.56996,-0.00872
162,5.36667,23.54372,23.55648,-0.00749
163,5.40000,23.30303,23.53100,-0.00812
164,5.43333,23.56017,23.52095,-0.00658
165,5.46667,23.63810,23.51741,-0.00465
166,5.50000,23.35238,23.49531,-0.00507
167,5.53333,23.70130,23.49069,-0.00267
168,5.56667,23.44502,23.48187,-0.00256
169,5.60000,23.42597,23.47525,-0.00257
170,5.63333,23.43463,23.47435,-0.00249
171,5.66667,23.52727,23.47231,-0.00169
172,5.70000,23.42338,23.46411,-0.00176
173,5.73333,23.41385,23.45726,-0.00183
174,5.76667,23.11602,23.44246,-0.00411
175,5.80000,23.25887,23.42774,-0.00480
176,5.83333,23.21991,23.41825,-0.00561
177,5.86667,23.00606,23.39303,-0.00777
178,5.90000,23.17316,23.38001,-0.00819
179,5.93333,23.13593,23.36797,-0.00874
180,5.96667,23.24762,23.36797,-0.00834
181,6.00000,23.48745,23.36797,-0.00613
182,6.03333,23.39827,23.36797,-0.00494
183,6.06667,23.26407,23.36608,-0.00498
184,6.10000,23.27186,23.36296,-0.00492
185,6.13333,23.14459,23.34561,-0.00573
186,6.16667,23.42597,23.34561,-0.00422
187,6.20000,23.31429,23.34026,-0.00376
188,6.23333,23.25801,23.32373,-0.00368
189,6.26667,23.36017,23.32373,-0.00282
190,6.30000,23.24935,23.30442,-0.00280
191,6.33333,23.34632,23.30013,-0.00201
192,6.36667,23.45887,23.30013,-0.00044
193,6.40000,23.51948,23.30013,0.00134
194,6.43333,23.51688,23.30013,0.00285
195,6.46667,23.51602,23.30013,0.00410
196,6.50000,23.43030,23.30013,0.00448
197,6.53333,23.69091,23.30013,0.00686
198,6.56667,23.64762,23.30013,0.00852
199,6.60000,23.47446,23.30013,0.00858
200,6.63333,23.58268,23.30013,0.00948
201,6.66667,23.48485,23.30013,0.00948
202,6.70000,23.54199,23.30013,0.00991
203,6.73333,23.60173,23.30013,0.01076
204,6.76667,23.59740,23.30013,0.01144
205,6.80000,23.54632,23.30013,0.01163
206,6.83333,23.46840,23.30013,0.01117
207,6.86667,23.41732,23.30013,0.01038
208,6.90000,23.26753,23.30013,0.00855
209,6.93333,23.26234,23.30013,0.00695
210,6.96667,23.40779,23.30013,0.00674
211,7.00000,23.40693,23.30013,0.00654
212,7.03333,23.20606,23.30013,0.00480
213,7.06667,23.12641,23.30013,0.00270
214,7.10000,23.35151,23.30013,0.00269
215,7.13333,23.25887,23.30013,0.00196
216,7.16667,23.55238,23.30013,0.00364
217,7.20000,23.44935,23.30013,0.00425
218,7.23333,23.58875,23.30013,0.00586
219,7.26667,23.75238,23.30013,0.00851
220,7.30000,23.68312,23.30013,0.01020
221,7.33333,23.84156,23.30013,0.01288
222,7.36667,23.82597,23.30013,0.01502
223,7.40000,23.70216,23.30013,0.01586
224,7.43333,23.89091,23.30013,0.01804
225,7.46667,23.91082,23.30013,0.02005
226,7.50000,23.95844,23.30013,0.02212
227,7.53333,24.01558,23.30013,0.02433
228,7.56667,24.20606,23.30013,0.02767
229,7.60000,24.15065,23.30013,0.03007
230,7.63333,24.11169,23.30013,0.03181
231,7.66667,24.07273,23.30013,0.03297
232,7.70000,24.29870,23.30013,0.03572
233,7.73333,24.27100,23.30013,0.03784
234,7.76667,24.42078,23.30013,0.04080
235,7.80000,24.33247,23.30013,0.04261
236,7.83333,24.37229,23.30013,0.04446
237,7.86667,24.45714,23.30013,0.04669
238,7.90000,24.50130,23.30013,0.04893
239,7.93333,24.57576,23.30013,0.05142
240,7.96667,24.35498,23.30013,0.05179
241,8.00000,24.37749,23.30013,0.05228
242,8.03333,24.36364,23.30013,0.05258
243,8.06667,24.32294,23.30013,0.05253
244,8.10000,24.47359,23.30013,0.05367
245,8.13333,24.43117,23.30013,0.05429
246,8.16667,24.40606,23.30013,0.05463
247,8.20000,24.30909,23.30013,0.05413
248,8.23333,24.43983,23.30013,0.05475
249,8.26667,24.44502,23.30013,0.05530
250,8.30000,24.49870,23.30013,0.05618
251,8.33333,24.28572,23.30013,0.05527
252,8.36667,24.38355,23.30013,0.05525
253,8.40000,24.41385,23.30013,0.05547
254,8.43333,24.31948,23.30013,0.05492
255,8.46667,24.30823,23.30013,0.05437
256,8.50000,24.26147,23.30013,0.05353
257,8.53333,24.23723,23.30013,0.05262
258,8.56667,24.21299,23.30013,0.05167
259,8.60000,24.05887,23.30013,0.04964
260,8.63333,24.28918,23.30013,0.04973
261,8.66667,24.31342,23.30013,0.05000
262,8.70000,24.40260,23.30013,0.05093
263,8.73333,24.26667,23.30013,0.05064
264,8.76667,24.40087,23.30013,0.05145
265,8.80000,24.59048,23.30013,0.05361
266,8.83333,24.75411,23.30013,0.05673
267,8.86667,24.68831,23.30013,0.05885
268,8.90000,24.88658,23.30013,0.06220
269,8.93333,25.03290,23.30013,0.06617
270,8.96667,24.97922,23.30013,0.06912
271,9.00000,24.99827,23.30013,0.07177
272,9.03333,24.86580,23.30013,0.07297
273,9.06667,24.85455,23.30013,0.07390
274,9.10000,25.09957,23.30013,0.07661
275,9.13333,25.00693,23.30013,0.07817
276,9.16667,25.12900,23.30013,0.08045
277,9.20000,24.95411,23.30013,0.08101
278,9.23333,25.00173,23.30013,0.08187
279,9.26667,24.90649,23.30013,0.08184
280,9.30000,24.92381,23.30013,0.08195
