Frame,time,RawF_1, F0_1, R_1
1,0.00000,23.51688,23.33472,0.00824
2,0.03333,23.55758,23.33472,0.00872
3,0.06667,23.50909,23.33472,0.00874
4,0.10000,23.58095,23.33472,0.00931
5,0.13333,23.50909,23.33472,0.00924
6,0.16667,23.43636,23.33472,0.00861
7,0.20000,23.59307,23.33472,0.00930
8,0.23333,23.59827,23.33472,0.00993
9,0.26667,23.51169,23.33472,0.00979
10,0.30000,23.50303,23.33472,0.00961
11,0.33333,23.54026,23.34018,0.00969
12,0.36667,23.51948,23.34222,0.00959
13,0.40000,23.62424,23.34297,0.01031
14,0.43333,23.38268,23.34523,0.00903
15,0.46667,23.44762,23.34523,0.00844
16,0.50000,23.52208,23.36145,0.00841
17,0.53333,23.59913,23.37226,0.00889
18,0.56667,23.59307,23.39172,0.00909
19,0.60000,23.47792,23.39624,0.00833
20,0.63333,23.40346,23.40659,0.00701
21,0.66667,23.49091,23.40659,0.00658
22,0.70000,23.50130,23.40659,0.00630
23,0.73333,23.45108,23.40659,0.00567
24,0.76667,23.65974,23.40659,0.00677
25,0.80000,23.53939,23.40659,0.00677
26,0.83333,23.49004,23.40659,0.00638
27,0.86667,23.59913,23.40659,0.00689
28,0.90000,23.42424,23.40659,0.00597
29,0.93333,23.47446,23.40659,0.00557
30,0.96667,23.43377,23.40659,0.00492
31,1.00000,23.51515,23.40659,0.00500
32,1.03333,23.62944,23.40659,0.00596
33,1.06667,23.55498,23.40659,0.00619
34,1.10000,23.61732,23.40659,0.00688
35,1.13333,23.64242,23.40659,0.00765
36,1.16667,23.63723,23.40659,0.00827
37,1.20000,23.62078,23.40659,0.00867
38,1.23333,23.54892,23.40659,0.00843
39,1.26667,23.54978,23.40659,0.00824
40,1.30000,23.62164,23.40659,0.00865
41,1.33333,23.66753,23.40659,0.00935
42,1.36667,23.57922,23.40659,0.00925
43,1.40000,23.56364,23.40659,0.00905
44,1.43333,23.66493,23.40659,0.00966
45,1.46667,23.66753,23.40659,0.01021
46,1.50000,23.45108,23.40659,0.00899
47,1.53333,23.54372,23.40659,0.00867
48,1.56667,23.69091,23.40659,0.00955
49,1.60000,23.39913,23.40659,0.00801
50,1.63333,23.50303,23.40659,0.00753
51,1.66667,23.65195,23.40659,0.00829
52,1.70000,23.48139,23.40659,0.00760
53,1.73333,23.51342,23.40659,0.00726
54,1.76667,23.67186,23.40659,0.00821
55,1.80000,23.52727,23.40659,0.00788
56,1.83333,23.53420,23.40659,0.00766
57,1.86667,23.42511,23.40659,0.00663
58,1.90000,23.52381,23.40659,0.00651
59,1.93333,23.32381,23.40659,0.00487
60,1.96667,23.43030,23.40659,0.00430
61,2.00000,23.34286,23.40659,0.00314
62,2.03333,23.32900,23.40659,0.00205
63,2.06667,23.30390,23.40659,0.00093
64,2.10000,23.40260,23.40659,0.00075
65,2.13333,23.31515,23.40659,-0.00009
66,2.16667,23.37576,23.40659,-0.00033
67,2.20000,23.33160,23.40659,-0.00087
68,2.23333,23.24675,23.40659,-0.00200
69,2.26667,23.33507,23.40659,-0.00225
70,2.30000,23.41299,23.40659,-0.00186
71,2.33333,23.33247,23.40659,-0.00217
72,2.36667,23.15671,23.40659,-0.00379
73,2.40000,23.14719,23.39631,-0.00516
74,2.43333,23.35498,23.38340,-0.00460
75,2.46667,23.44156,23.38167,-0.00344
76,2.50000,23.21732,23.36880,-0.00410
77,2.53333,23.25628,23.35073,-0.00422
78,2.56667,23.22165,23.33743,-0.00448
79,2.60000,23.22684,23.32408,-0.00457
80,2.63333,23.28831,23.31813,-0.00410
81,2.66667,23.30563,23.30864,-0.00350
82,2.70000,23.15065,23.30111,-0.00415
83,2.73333,23.21732,23.29185,-0.00410
84,2.76667,23.03983,23.27868,-0.00535
85,2.80000,23.15325,23.27103,-0.00546
86,2.83333,23.16104,23.26482,-0.00545
87,2.86667,23.26061,23.25865,-0.00460
88,2.90000,23.16623,23.25218,-0.00457
89,2.93333,23.13766,23.24182,-0.00469
90,2.96667,23.20519,23.23633,-0.00421
91,3.00000,23.15844,23.23248,-0.00415
92,3.03333,23.02338,23.21894,-0.00505
93,3.06667,23.22684,23.21084,-0.00414
94,3.10000,22.98874,23.19590,-0.00513
95,3.13333,23.11082,23.19390,-0.00500
96,3.16667,23.00260,23.18762,-0.00568
97,3.20000,22.98874,23.17169,-0.00625
98,3.23333,22.91602,23.14884,-0.00713
99,3.26667,23.05887,23.14195,-0.00668
100,3.30000,23.03983,23.13254,-0.00638
101,3.33333,23.08918,23.12678,-0.00570
102,3.36667,22.99567,23.11673,-0.00578
103,3.40000,22.96883,23.10284,-0.00594
104,3.43333,23.03810,23.09121,-0.00544
105,3.46667,22.95498,23.08270,-0.00561
106,3.50000,22.89957,23.06888,-0.00609
107,3.53333,22.84848,23.06057,-0.00683
108,3.56667,22.98355,23.05319,-0.00633
109,3.60000,23.02771,23.04739,-0.00551
110,3.63333,23.03030,23.03738,-0.00471
111,3.66667,22.92814,23.02703,-0.00477
112,3.70000,23.07792,23.02443,-0.00362
113,3.73333,23.04502,23.01747,-0.00284
114,3.76667,22.89004,23.00580,-0.00332
115,3.80000,23.07619,23.00580,-0.00224
116,3.83333,22.83809,22.99119,-0.00310
117,3.86667,22.99827,22.99119,-0.00257
118,3.90000,23.05974,22.98938,-0.00161
119,3.93333,22.78095,22.97975,-0.00294
120,3.96667,22.91169,22.97640,-0.00300
121,4.00000,22.78442,22.97067,-0.00402
122,4.03333,22.82424,22.96047,-0.00448
123,4.06667,22.88398,22.95370,-0.00434
124,4.10000,22.84762,22.94320,-0.00443
125,4.13333,22.83896,22.93639,-0.00452
126,4.16667,22.82597,22.93017,-0.00465
127,4.20000,22.69177,22.91511,-0.00571
128,4.23333,22.76017,22.90664,-0.00599
129,4.26667,22.74459,22.89990,-0.00630
130,4.30000,22.70130,22.89351,-0.00686
131,4.33333,22.80606,22.88579,-0.00644
132,4.36667,22.77576,22.87484,-0.00624
133,4.40000,22.97662,22.87250,-0.00445
134,4.43333,23.11342,22.87250,-0.00183
135,4.46667,22.85281,22.87077,-0.00169
136,4.50000,22.94113,22.86625,-0.00083
137,4.53333,22.94286,22.86625,-0.00008
138,4.56667,23.11775,22.86625,0.00195
139,4.60000,22.96104,22.86625,0.00241
140,4.63333,23.10390,22.86625,0.00394
141,4.66667,22.76277,22.86625,0.00251
142,4.70000,22.95152,22.86625,0.00281
143,4.73333,22.92554,22.86625,0.00285
144,4.76667,22.85541,22.86625,0.00232
145,4.80000,22.93853,22.86625,0.00255
146,4.83333,23.02338,22.86625,0.00341
147,4.86667,22.97836,22.86625,0.00379
148,4.90000,22.80433,22.86625,0.00271
149,4.93333,23.09524,22.86625,0.00412
150,4.96667,23.08745,22.86625,0.00526
151,5.00000,22.96537,22.86625,0.00525
152,5.03333,22.85281,22.86625,0.00434
153,5.06667,23.07013,22.86625,0.00531
154,5.10000,22.89783,22.86625,0.00475
155,5.13333,23.01818,22.86625,0.00524
156,5.16667,23.03463,22.86625,0.00578
157,5.20000,23.04416,22.86625,0.00632
158,5.23333,22.88745,22.86625,0.00553
159,5.26667,23.00866,22.86625,0.00583
160,5.30000,22.71948,22.86625,0.00377
161,5.33333,22.89524,22.86625,0.00343
162,5.36667,22.77403,22.86625,0.00217
163,5.40000,22.80952,22.86625,0.00139
164,5.43333,23.30043,22.86625,0.00464
165,5.46667,23.17576,22.86625,0.00639
166,5.50000,23.18095,22.86625,0.00792
167,5.53333,23.10476,22.86625,0.00860
168,5.56667,23.08831,22.86625,0.00905
169,5.60000,23.10130,22.86625,0.00953
170,5.63333,23.07965,22.86625,0.00977
171,5.66667,23.26926,22.86625,0.01147
172,5.70000,23.20952,22.86625,0.01246
173,5.73333,23.22684,22.86625,0.01342
174,5.76667,23.18528,22.86625,0.01391
175,5.80000,23.30043,22.86625,0.01524
176,5.83333,23.35151,22.86625,0.01677
177,5.86667,23.25628,22.86625,0.01730
178,5.90000,23.38441,22.86625,0.01878
179,5.93333,23.40952,22.86625,0.02024
180,5.96667,23.26061,22.86625,0.02027
181,6.00000,23.23203,22.86625,0.02007
182,6.03333,23.33766,22.86625,0.02075
183,6.06667,23.23463,22.86625,0.02050
184,6.10000,23.18875,22.86625,0.01992
185,6.13333,23.25022,22.86625,0.01993
186,6.16667,23.12035,22.86625,0.01889
187,6.20000,23.20087,22.86625,0.01866
188,6.23333,23.38095,22.86625,0.01989
189,6.26667,23.21818,22.86625,0.01965
190,6.30000,23.45368,22.86625,0.02132
191,6.33333,23.37662,22.86625,0.02213
192,6.36667,23.27186,22.86625,0.02197
193,6.40000,23.35931,22.86625,0.02254
194,6.43333,23.30823,22.86625,0.02261
195,6.46667,23.34372,22.86625,0.02293
196,6.50000,23.28052,22.86625,0.02270
197,6.53333,23.12294,22.86625,0.02125
198,6.56667,23.22511,22.86625,0.02085
199,6.60000,23.42251,22.86625,0.02208
200,6.63333,23.22165,22.86625,0.02151
201,6.66667,23.24849,22.86625,0.02125
202,6.70000,23.32641,22.86625,0.02165
203,6.73333,23.18442,22.86625,0.02085
204,6.76667,23.27273,22.86625,0.02088
205,6.80000,23.41299,22.86625,0.02202
206,6.83333,23.38268,22.86625,0.02275
207,6.86667,23.31169,22.86625,0.02279
208,6.90000,23.23723,22.86625,0.02224
209,6.93333,23.24589,22.86625,0.02183
210,6.96667,23.42251,22.86625,0.02290
211,7.00000,23.28572,22.86625,0.02271
212,7.03333,23.27706,22.86625,0.02249
213,7.06667,23.31602,22.86625,0.02261
214,7.10000,23.18875,22.86625,0.02169
215,7.13333,23.28831,22.86625,0.02172
216,7.16667,23.41818,22.86625,0.02277
217,7.20000,23.39481,22.86625,0.02349
218,7.23333,23.32900,22.86625,0.02356
219,7.26667,23.40433,22.86625,0.02422
220,7.30000,23.34892,22.86625,0.02434
221,7.33333,23.48571,22.86625,0.02552
222,7.36667,23.29524,22.86625,0.02501
223,7.40000,23.13939,22.86625,0.02333
224,7.43333,23.35671,22.86625,0.02364
225,7.46667,23.34805,22.86625,0.02384
226,7.50000,23.30823,22.86738,0.02368
227,7.53333,23.20866,22.86738,0.02275
228,7.56667,23.20866,22.86738,0.02197
229,7.60000,22.96883,22.86738,0.01939
230,7.63333,23.26753,22.86738,0.01958
231,7.66667,23.05368,22.87480,0.01799
232,7.70000,23.08918,22.87540,0.01692
233,7.73333,23.08485,22.87849,0.01595
234,7.76667,23.07792,22.88345,0.01503
235,7.80000,22.97316,22.88951,0.01338
236,7.83333,22.94719,22.89369,0.01172
237,7.86667,23.12208,22.89369,0.01172
238,7.90000,22.99307,22.90540,0.01060
239,7.93333,22.96277,22.92261,0.00928
240,7.96667,23.00000,22.93044,0.00839
241,8.00000,22.96364,22.93044,0.00734
242,8.03333,23.01645,22.93044,0.00688
243,8.06667,23.10736,22.93044,0.00721
244,8.10000,23.04156,22.93044,0.00697
245,8.13333,23.34113,22.93044,0.00916
246,8.16667,23.05195,22.93044,0.00870
247,8.20000,22.97922,22.93044,0.00773
248,8.23333,22.84156,22.93044,0.00581
249,8.26667,23.08485,22.93044,0.00613
250,8.30000,23.15238,22.93044,0.00693
251,8.33333,22.97922,22.93044,0.00623
252,8.36667,23.01385,22.93044,0.00591
253,8.40000,22.92294,22.95381,0.00474
254,8.43333,22.87619,22.96356,0.00330
255,8.46667,22.96883,22.97467,0.00273
256,8.50000,22.79307,22.98551,0.00076
257,8.53333,22.87013,22.99202,-0.00035
258,8.56667,23.04156,22.99541,0.00006
259,8.60000,22.89524,22.99981,-0.00080
260,8.63333,22.91255,22.99172,-0.00131
261,8.66667,22.99221,22.99168,-0.00112
262,8.70000,22.90303,22.98908,-0.00164
263,8.73333,23.09870,22.98908,-0.00053
264,8.76667,23.02511,22.98908,-0.00017
265,8.80000,22.96883,22.98908,-0.00031
266,8.83333,23.01299,22.98908,-0.00008
267,8.86667,22.86234,22.98208,-0.00102
268,8.90000,23.03030,22.96857,-0.00038
269,8.93333,23.07706,22.96857,0.00053
270,8.96667,22.97749,22.96857,0.00052
271,9.00000,22.95584,22.96857,0.00034
272,9.03333,22.89351,22.96623,-0.00029
273,9.06667,22.91948,22.95611,-0.00054
274,9.10000,22.88485,22.95201,-0.00100
275,9.13333,22.83896,22.94440,-0.00169
276,9.16667,23.17489,22.94440,0.00038
277,9.20000,23.09610,22.94440,0.00153
278,9.23333,23.01385,22.94440,0.00184
279,9.26667,23.20087,22.94440,0.00360
280,9.30000,23.25108,22.94440,0.00548
281,9.33333,23.24849,22.94440,0.00705
282,9.36667,23.17056,22.94440,0.00777
283,9.40000,23.27965,22.94440,0.00924
284,9.43333,23.28139,22.94440,0.01050
285,9.46667,23.22857,22.94440,0.01116
286,9.50000,23.23290,22.94440,0.01174
287,9.53333,23.23983,22.94440,0.01230
288,9.56667,23.26926,22.94440,0.01300
289,9.60000,23.32121,22.94440,0.01400
290,9.63333,23.28225,22.94440,0.01454
291,9.66667,23.14459,22.94440,0.01391
292,9.70000,23.06494,22.94440,0.01273
293,9.73333,22.98701,22.94440,0.01112
294,9.76667,23.27273,22.94440,0.01202
295,9.80000,23.11948,22.94440,0.01157
296,9.83333,23.20693,22.94440,0.01188
297,9.86667,23.03550,22.94440,0.01078
298,9.90000,23.22338,22.94440,0.01135
299,9.93333,23.25368,22.94440,0.01207
300,9.96667,23.11602,22.94440,0.01158
301,10.00000,23.02338,22.94440,0.01043
302,10.03333,23.01645,22.94440,0.00940
303,10.06667,23.22684,22.94440,0.01021
304,10.10000,23.12554,22.94440,0.01008
305,10.13333,23.15671,22.94440,0.01023
306,10.16667,22.99740,22.94440,0.00908
307,10.20000,22.99134,22.94440,0.00805
308,10.23333,23.03896,22.94440,0.00756
309,10.26667,22.88831,22.94440,0.00595
310,10.30000,22.98009,22.94440,0.00531
311,10.33333,23.14372,22.94440,0.00607
312,10.36667,22.93593,22.94440,0.00505
313,10.40000,23.00693,22.94440,0.00477
314,10.43333,23.13680,22.94440,0.00555
315,10.46667,22.92121,22.94440,0.00450
316,10.50000,22.96104,22.94440,0.00393
317,10.53333,22.92467,22.94440,0.00315
318,10.56667,22.95411,22.94440,0.00273
319,10.60000,22.82511,22.94440,0.00135
320,10.63333,23.00606,22.94440,0.00162
321,10.66667,22.93939,22.94440,0.00131
322,10.70000,22.84329,22.94440,0.00030
323,10.73333,22.77922,22.94440,-0.00107
324,10.76667,22.93420,22.94440,-0.00099
325,10.80000,22.73766,22.94440,-0.00250
326,10.83333,22.94026,22.94440,-0.00215
327,10.86667,22.83983,22.94440,-0.00267
328,10.90000,23.00000,22.94440,-0.00182
329,10.93333,22.84242,22.93785,-0.00231
330,10.96667,22.62424,22.92189,-0.00434
331,11.00000,22.81039,22.91195,-0.00449
332,11.03333,22.94199,22.91195,-0.00357
333,11.06667,22.67186,22.90088,-0.00485
334,11.10000,22.84416,22.88786,-0.00447
335,11.13333,22.88139,22.88549,-0.00382
336,11.16667,22.77316,22.87532,-0.00406
337,11.20000,22.85455,22.86305,-0.00351
338,11.23333,22.91082,22.86260,-0.00259
339,11.26667,22.85108,22.85782,-0.00225
340,11.30000,22.86234,22.85511,-0.00184
341,11.33333,22.80519,22.84863,-0.00191
342,11.36667,22.70216,22.84329,-0.00275
343,11.40000,22.74719,22.83204,-0.00301
344,11.43333,22.83030,22.82729,-0.00252
345,11.46667,22.81558,22.82609,-0.00223
346,11.50000,22.75411,22.82499,-0.00245
347,11.53333,22.71861,22.81562,-0.00285
348,11.56667,22.82684,22.81562,-0.00233
349,11.60000,22.62164,22.80565,-0.00344
350,11.63333,22.60866,22.79560,-0.00441
351,11.66667,22.89783,22.79116,-0.00288
352,11.70000,22.76797,22.78792,-0.00260
353,11.73333,22.58961,22.78641,-0.00377
354,11.76667,22.76191,22.78430,-0.00336
355,11.80000,22.73247,22.77519,-0.00319
356,11.83333,22.71255,22.77519,-0.00319
357,11.86667,22.72641,22.77184,-0.00307
358,11.90000,22.76277,22.76668,-0.00262
359,11.93333,22.83723,22.76668,-0.00166
360,11.96667,22.70736,22.76307,-0.00184
361,12.00000,22.76623,22.75678,-0.00147
362,12.03333,22.92554,22.75678,0.00011
363,12.06667,22.95152,22.75678,0.00166
364,12.10000,22.86840,22.75678,0.00231
365,12.13333,22.68398,22.75678,0.00137
366,12.16667,22.77662,22.75678,0.00132
367,12.20000,22.62771,22.75678,0.00009
368,12.23333,22.80693,22.75678,0.00048
369,12.26667,22.63203,22.75264,-0.00057
370,12.30000,22.96277,22.75264,0.00121
371,12.33333,22.95844,22.75264,0.00267
372,12.36667,22.95152,22.75264,0.00386
373,12.40000,22.94113,22.75264,0.00479
374,12.43333,22.81125,22.75264,0.00453
375,12.46667,22.86667,22.75264,0.00475
376,12.50000,22.82078,22.75264,0.00456
377,12.53333,22.71861,22.75264,0.00359
378,12.56667,22.83983,22.75264,0.00375
379,12.60000,22.98095,22.75264,0.00500
380,12.63333,22.97749,22.75264,0.00605
381,12.66667,23.02164,22.75264,0.00729
382,12.70000,22.94372,22.75264,0.00770
383,12.73333,22.94286,22.75264,0.00804
384,12.76667,22.94286,22.75264,0.00834
385,12.80000,23.01472,22.75264,0.00917
386,12.83333,22.88658,22.75264,0.00884
387,12.86667,23.14632,22.75264,0.01064
388,12.90000,23.17143,22.75264,0.01237
389,12.93333,23.06234,22.75264,0.01296
390,12.96667,23.04329,22.75264,0.01330
391,13.00000,23.20433,22.75264,0.01488
392,13.03333,23.27965,22.75264,0.01683
393,13.06667,23.14199,22.75264,0.01736
394,13.10000,23.38961,22.75264,0.01980
395,13.13333,23.55498,22.75264,0.02319
396,13.16667,23.30996,22.75264,0.02411
397,13.20000,23.22857,22.75264,0.02423
398,13.23333,23.20173,22.75264,0.02412
399,13.26667,23.07965,22.75264,0.02304
400,13.30000,23.00779,22.75264,0.02155
401,13.33333,23.20866,22.75264,0.02189
402,13.36667,23.13160,22.75264,0.02156
403,13.40000,23.31861,22.75264,0.02279
404,13.43333,23.33680,22.75264,0.02397
405,13.46667,23.19654,22.75264,0.02385
406,13.50000,23.18095,22.75264,0.02362
407,13.53333,23.38009,22.75264,0.02502
408,13.56667,23.29524,22.75264,0.02554
409,13.60000,23.20433,22.75264,0.02524
410,13.63333,23.03983,22.75264,0.02366
411,13.66667,23.28831,22.75264,0.02432
412,13.70000,23.31688,22.75264,0.02510
413,13.73333,23.19567,22.75264,0.02479
414,13.76667,23.12814,22.75264,0.02399
415,13.80000,23.34805,22.75264,0.02508
416,13.83333,23.34199,22.75264,0.02594
417,13.86667,23.03377,22.75264,0.02421
418,13.90000,23.46147,22.75264,0.02616
419,13.93333,23.18701,22.75264,0.02561
420,13.96667,23.19134,22.75264,0.02519
421,14.00000,23.23030,22.75264,0.02514
422,14.03333,23.32294,22.75264,0.02584
423,14.06667,23.44416,22.75264,0.02740
424,14.10000,23.25801,22.75264,0.02723
425,14.13333,23.21818,22.75264,0.02676
426,14.16667,23.22944,22.75264,0.02644
427,14.20000,23.19654,22.75264,0.02592
428,14.23333,23.21385,22.75264,0.02562
429,14.26667,23.32381,22.75264,0.02625
430,14.30000,23.31948,22.75264,0.02675
431,14.33333,23.28918,22.75264,0.02694
432,14.36667,23.12208,22.75264,0.02575
433,14.40000,23.18615,22.75264,0.02526
434,14.43333,23.47186,22.75264,0.02712
435,14.46667,23.28658,22.75264,0.02722
436,14.50000,23.33074,22.75264,0.02766
437,14.53333,23.32900,22.75264,0.02802
438,14.56667,23.30649,22.75264,0.02813
439,14.60000,23.09091,22.75264,0.02650
440,14.63333,23.19048,22.75264,0.02593
441,14.66667,23.36797,22.75264,0.02687
442,14.70000,23.07619,22.75264,0.02532
443,14.73333,23.15844,22.75264,0.02466
444,14.76667,23.08312,22.75264,0.02351
445,14.80000,22.89178,22.75264,0.02100
446,14.83333,22.90649,22.75264,0.01898
447,14.86667,23.32554,22.75264,0.02064
448,14.90000,23.11515,22.75264,0.02037
449,14.93333,23.25714,22.75264,0.02126
450,14.96667,22.97662,22.75264,0.01977
451,15.00000,23.16017,22.75264,0.01999
452,15.03333,23.12208,22.75264,0.01986
453,15.06667,23.29351,22.75264,0.02113
454,15.10000,23.04329,22.75264,0.02018
455,15.13333,23.19654,22.75264,0.02062
456,15.16667,23.12814,22.75264,0.02045
457,15.20000,23.06147,22.75264,0.01977
458,15.23333,23.14719,22.75264,0.01988
459,15.26667,23.13766,22.76326,0.01981
460,15.30000,23.15498,22.76898,0.01984
