Frame,time,RawF_1, F0_1, R_1
1,0.00000,16.95757,17.04175,-0.00666
2,0.03333,17.01991,17.02959,-0.00574
3,0.06667,16.80000,17.00715,-0.00709
4,0.10000,17.32641,17.00715,-0.00257
5,0.13333,17.25195,17.00715,0.00045
6,0.16667,17.13420,17.00715,0.00174
7,0.20000,17.46753,17.00715,0.00639
8,0.23333,17.25108,17.00715,0.00802
9,0.26667,17.19048,17.00715,0.00875
10,0.30000,17.30823,17.00715,0.01063
11,0.33333,17.06494,17.00715,0.00961
12,0.36667,17.00866,17.00715,0.00815
13,0.40000,16.94199,17.00715,0.00620
14,0.43333,17.28918,17.00715,0.00828
15,0.46667,16.63723,17.00715,0.00305
16,0.50000,16.99394,17.00715,0.00244
17,0.53333,17.03117,17.00715,0.00234
18,0.56667,16.95238,17.00715,0.00139
19,0.60000,16.87186,17.00715,-0.00027
20,0.63333,17.12381,17.00715,0.00102
21,0.66667,17.06234,17.00715,0.00148
22,0.70000,17.00000,17.00715,0.00117
23,0.73333,17.20693,17.00715,0.00314
24,0.76667,16.95411,17.00715,0.00210
25,0.80000,16.92641,17.00715,0.00092
26,0.83333,17.19134,17.00715,0.00278
27,0.86667,17.27706,17.00715,0.00526
28,0.90000,17.23636,17.00715,0.00693
29,0.93333,17.10390,17.00715,0.00691
30,0.96667,16.89610,17.00715,0.00465
31,1.00000,16.91342,17.00715,0.00293
32,1.03333,17.13680,17.00715,0.00388
33,1.06667,17.30909,17.00715,0.00653
34,1.10000,17.17749,17.00715,0.00737
35,1.13333,17.05887,17.00715,0.00677
36,1.16667,17.10649,17.00715,0.00678
37,1.20000,17.01039,17.00715,0.00577
38,1.23333,16.80000,17.00715,0.00263
39,1.26667,16.88571,17.00715,0.00091
40,1.30000,16.98182,17.00715,0.00049
41,1.33333,16.91255,17.00715,-0.00062
42,1.36667,16.74719,17.00715,-0.00332
43,1.40000,16.98615,17.00715,-0.00304
44,1.43333,17.01818,17.00715,-0.00245
45,1.46667,16.70476,17.00715,-0.00534
46,1.50000,16.66667,17.00004,-0.00808
47,1.53333,16.86407,16.99612,-0.00825
48,1.56667,16.91342,16.99556,-0.00787
49,1.60000,16.72381,16.97523,-0.00936
50,1.63333,16.51602,16.94214,-0.01251
51,1.66667,16.92035,16.92840,-0.01068
52,1.70000,16.72208,16.91180,-0.01110
53,1.73333,16.95238,16.91180,-0.00895
54,1.76667,16.70390,16.90514,-0.00976
55,1.80000,16.67446,16.88504,-0.01054
56,1.83333,16.83377,16.86437,-0.00925
57,1.86667,16.68312,16.84288,-0.00957
