Frame,time,RawF_1, F0_1, R_1
1,0.00000,23.88658,23.45165,0.02154
2,0.03333,24.03203,23.45165,0.02274
3,0.06667,23.92900,23.45165,0.02295
4,0.10000,23.86926,23.45165,0.02267
5,0.13333,23.90736,23.45165,0.02273
6,0.16667,23.77835,23.45165,0.02178
7,0.20000,24.06753,23.45165,0.02321
8,0.23333,23.67879,23.45165,0.02139
9,0.26667,23.88745,23.45165,0.02149
10,0.30000,23.78268,23.45165,0.02075
11,0.33333,23.50996,23.45165,0.01800
12,0.36667,23.78442,23.45165,0.01781
13,0.40000,23.55411,23.45165,0.01585
14,0.43333,23.77229,23.45165,0.01589
15,0.46667,23.81125,23.45165,0.01622
16,0.50000,23.87792,23.45165,0.01703
17,0.53333,23.67273,23.45165,0.01612
18,0.56667,23.71688,23.45165,0.01569
19,0.60000,23.85541,23.45165,0.01639
20,0.63333,23.87359,23.45165,0.01714
21,0.66667,23.78701,23.45165,0.01711
22,0.70000,23.56710,23.45165,0.01536
23,0.73333,23.64849,23.45165,0.01451
24,0.76667,24.00779,23.45165,0.01658
25,0.80000,23.83723,23.45165,0.01701
26,0.83333,23.73939,23.45165,0.01663
27,0.86667,23.71775,23.45165,0.01612
28,0.90000,23.61559,23.45165,0.01491
29,0.93333,23.65541,23.45165,0.01419
30,0.96667,23.74632,23.45590,0.01426
31,1.00000,23.54805,23.45590,0.01277
32,1.03333,23.44935,23.45590,0.01074
33,1.06667,23.68831,23.45590,0.01087
34,1.10000,23.40606,23.46083,0.00876
35,1.13333,23.49091,23.46083,0.00763
36,1.16667,23.86493,23.46283,0.00957
37,1.20000,23.61818,23.46283,0.00929
38,1.23333,23.51255,23.46287,0.00822
39,1.26667,23.58355,23.46938,0.00784
40,1.30000,23.63723,23.47020,0.00792
41,1.33333,23.73766,23.47020,0.00877
42,1.36667,23.48658,23.47020,0.00755
43,1.40000,23.26234,23.47020,0.00476
44,1.43333,23.37749,23.47020,0.00330
45,1.46667,23.65541,23.47020,0.00422
46,1.50000,23.36537,23.47020,0.00274
47,1.53333,23.63377,23.47020,0.00357
48,1.56667,23.31082,23.47020,0.00178
49,1.60000,23.60606,23.47242,0.00253
50,1.63333,23.23983,23.47242,0.00031
51,1.66667,23.46840,23.47882,0.00017
